,Primary_Key,DC_Real_Property_ID,Property_Name,Reporting_Year,Report_Status,Address_of_Record,Owner_of_Record,Ward,City,State,Postal_Code,Year_Built,Primary_Property_Type_Self_Selected,Primary_Property_Type_EPA_Calculated,Tax_Record_Floor_Area,Recorded_Building_Gross_Floor_Area,Energy_Star_Score,Site_EUI_KBTU_Ft,Weather_Normalized_Site_EUI_KBTU_Ft,Source_EUI_KBTU_Ft,Weather_Normalized_Source_EUI_KBTU_Ft,Total_GHG_Emissions_Metric_Tons_CO2e,Total_GHG_Emissions_Intensity_Kg_CO2e_Ft,Water_Use_All_Water_Sources_Kgal,Electricity_Use_Grid_Kwh,Natural_Gas_Use_Therms,Latitude,Longitude
309,PM2736239,0516_0057,425 EYE,2017,In Compliance,425 I ST NW,425 EYE STREET NW LP,6.0,WASHINGTON,DC,20001.0,1973,Office,Office,488592.0,376559.0,99,39.2,39.2,123.2,123.2,1638.5,4.4,6126.0,4329016.8,,38.90171237,-77.01694407
322,PM6254160,0386_0001,370 L'Enfant,2017,In Compliance,0901 D ST SW,CIM URBAN REIT PROPERTIES V LLC,6.0,WASHINGTON,DC,20260.0,1987,Office,Office,535757.0,407321.0,96,41.9,42.8,124.2,124.0,1809.7,4.4,4091.0,4582129.4,14184.4505,38.88506002,-77.02474986
325,PM1188995,0285_0048,1201 Eye Street,2017,In Compliance,1201 I ST NW,1215 I STREET NW ASSOCS LTD PARTNERSHIP,2.0,WASHINGTON,DC,20005.0,2001,Office,Office,274387.0,305868.0,90,39.6,39.6,124.5,124.5,1344.8,4.4,2037.4,3553038.6,,38.90163885,-77.02856162
336,PM4352773,0111_0082,The Caravel,2017,Data Under Review by DOEE,1601 CONNECTICUT AVE NW,MICHAEL KAIN,2.0,WASHINGTON,DC,20009.0,1971,Office,Office,52562.0,45065.0,88,43.4,42.8,125.8,121.8,203.9,4.5,1408.7,507334.4,2240.168561,38.91138385,-77.04409107
340,PM1526560,1661_0813,Chevy Chase - Office,2017,In Compliance,5335 WISCONSIN AV NW,CLPF-CC PAVILION LP,3.0,WASHINGTON,DC,20015.0,1990,Office,Office,894921.0,204621.0,95,40.3,40.3,126.4,126.4,914.1,4.5,17.2,2415067.6,,38.96077377,-77.08484663
347,PM1411897,0184_0074,1601 K Street,2017,In Compliance,1601 K ST NW,PPF OFF 1601 K ST LLC,2.0,WASHINGTON,DC,20006.0,2005,Office,Office,276579.0,231860.0,91,40.6,41.3,127.4,129.5,1043.2,4.5,2110.4,2756141.5,,38.90300234,-77.03689296
350,PM2482523,0711_0815,One Constitution Square,2017,In Compliance,1275 1ST ST NE,CS OFFICE ONE LLC,6.0,WASHINGTON,DC,20002.0,2010,Office,Office,350000.0,338645.0,96,41.0,41.0,128.6,128.6,1538.9,4.5,4036.8,4065937.1,,38.90697282,-77.00546476
357,PM1347006,0248_0075,Franklin Court,2017,In Compliance,1330 L ST NW,FRANKLIN COURT INC,2.0,WASHINGTON,DC,20005.0,1991,Office,Office,653028.0,538084.0,92,41.5,41.9,130.3,131.6,2477.6,4.6,4941.2,6544580.7,87.21,38.90342407,-77.03123239
363,PM3498438,0217_0051,1401 K St NW,2017,In Compliance,1401 K ST NW,FP 1401 K LLC,2.0,WASHINGTON,DC,20005.0,1929,Office,Office,135642.0,129594.0,88,44.8,44.8,131.5,131.5,611.2,4.7,1776.3,1533359.0,5800.836479,38.90293183,-77.03231633
364,PM1082453,0225_0033,The Willard Office Building,2017,Data Under Review by DOEE,1401 - 1415 PENNSYLVANIA AV NW,WILLARD ASSOCIATES,2.0,WASHINGTON,DC,20004.0,1986,Office,Office,349863.0,262770.0,90,41.9,41.9,131.6,131.6,1222.1,4.7,8594.2,3228708.7,,38.89716073,-77.03226635
365,PM1346869,0286_0819,1201& 1225  New York Ave.,2017,In Compliance,1225 NEW YORK AV NW,1201-1225 NEW YORK AVE SPE LLC,2.0,WASHINGTON,DC,20005.0,1993,Office,Office,143753.0,510400.0,91,44.7,45.6,131.6,134.2,2407.0,4.7,4826.9,6058569.4,21158.233930000002,38.90077367,-77.02897906
371,PM1326957,0137_0056,1800 Massachusetts Avenue NW (SEIU),2017,Data Under Review by DOEE,1800 - 1824 MASSACHUSETTS AV NW,1800 MASSACHUSETTS AVENUE CORP,2.0,WASHINGTON,DC,20036.0,1978,Office,Office,185604.0,217543.0,93,42.2,42.2,132.6,132.6,1019.2,4.7,2711.0,2692792.7,,38.90878688,-77.04226616
374,PM6342583,0457_0036,Grand Lodge Of IOOF,2017,Data Under Review by DOEE,419 7TH ST NW,GRAND LODGE OF IOOF,2.0,WASHINGTON,DC,20004.0,1917,Office,Office,64495.0,74468.0,67,42.4,41.5,133.0,130.3,350.0,4.7,229.7,924746.9,,38.89543232,-77.02158076
376,PM1873494,0198_0845,The Executive Building,2017,In Compliance,1030 15TH ST NW,UNIZO REAL ESTATE DC FIVE LLC,2.0,WASHINGTON,DC,20005.0,2008,Office,Office,340022.0,352256.0,95,44.3,44.5,133.4,132.6,1676.0,4.8,3004.2,4291451.3,9736.009681,38.90349979,-77.03487253
377,PM1069662,0675_0853,999 North Capitol Street NE,2017,In Compliance,999 NORTH CAPITOL ST NE,UNION SQUARE 941 PROPERTY LP,6.0,WASHINGTON,DC,20002.0,1973,Office,Office,322375.0,321544.0,95,43.6,44.2,133.5,135.0,1524.3,4.7,3389.0,3956531.6,5041.480021,38.90202876,-77.0085478
384,PM3928873,0183_0107,IUOE,2017,In Compliance,1125 17TH ST NW,INTERNATIONAL UNION OPERATING ENGINEERS,2.0,WASHINGTON,DC,20036.0,1956,Office,Office,89635.0,95981.0,87,53.9,56.6,134.8,136.4,482.4,5.0,1022.5,1051541.8,15895.83854,38.90450718,-77.03810652
389,PM1391419,0675_0855,899 North Capitol Street (Union Square),2017,In Compliance,899 NORTH CAPITOL ST NE,UNION SQUARE 825 PROPERTY LP,6.0,WASHINGTON,DC,20002.0,1972,Office,Office,318096.0,314317.0,92,43.4,43.5,135.7,135.8,1509.0,4.8,3897.9,3972275.7,1032.433977,38.90110153,-77.00845004
390,PM1419667,0286_0041,1250 Eye Street,2017,In Compliance,1250 I ST NW,IPERS EYE ST NW DC INC,2.0,WASHINGTON,DC,20005.0,1982,Office,Office,239325.0,193051.0,88,43.3,44.7,136.0,140.2,927.4,4.8,2768.4,2450166.9,,38.90099549,-77.02923934
392,PM27448,0085_0060,The Millennium Building,2017,In Compliance,1909 K ST NW,NINA JO ASSOCIATES LLC,2.0,WASHINGTON,DC,20006.0,1973,Office,Office,239437.0,242937.0,94,43.5,43.5,136.5,135.5,1171.9,4.8,2902.6,3062981.5,,38.90281745,-77.04408634
393,PM4380886,0136_0035,11 Dupont Circle,2017,In Compliance,0011 DUPONT CIR NW,FP 11 DUPONT CIRCLE LLC,2.0,WASHINGTON,DC,20036.0,1974,Office,Office,171077.0,160898.0,87,43.6,43.6,136.7,136.7,777.5,4.8,5136.1,2051678.0,,38.91038112,-77.04241573
395,PM6247638,0404_0817,American Public Health Association,2017,In Compliance,0800 I ST NW,AMERICAN PUBLIC HEALTH ASSOC,2.0,WASHINGTON,DC,20001.0,1999,Office,Office,61006.0,62466.0,85,43.7,44.5,137.2,139.7,302.7,4.8,236.5,799872.3,,38.90067469,-77.02324969
398,PM1390727,0186_0810,Chanin Building - 815 Connecticut,2017,Data Under Review by DOEE,0815 CONNECTICUT AV NW,BPP CONNECTICUT AVE LLC,2.0,WASHINGTON,DC,20006.0,1964,Office,Office,269619.0,231784.0,92,49.3,50.2,137.4,137.3,1156.3,5.0,5226.3,2782409.7,19417.68952,38.90113082,-77.03797978
399,PM2371512,0343_0830,1050 K Street,2017,Incomplete Report,1050 K ST NW,K-11 PARTNERS LLC,2.0,WASHINGTON,DC,20001.0,2005,Office,Office,151749.0,153440.0,93,43.8,43.8,137.4,137.4,744.7,4.9,1599.8,1967591.9,,38.90229303,-77.02670014
400,PM3306992,0116_0850,1233 20th Street,2017,In Compliance,1233-1243  20TH ST NW,JBG/1233 20TH STREET LLC,2.0,WASHINGTON,DC,20036.0,1984,Office,Office,222726.0,167330.0,92,43.8,43.8,137.6,137.6,813.6,4.9,1971.0,2149596.7,,38.90671125,-77.04449747
402,PM2236387,0105_0844,CTTWB,2017,In Compliance,1815 - 1821 PENNSYLVANIA AVE NW,CTTWB ASSOCIATES LP,2.0,WASHINGTON,DC,20006.0,2006,Office,Office,311730.0,354331.0,92,43.9,43.0,137.7,135.1,1724.1,4.9,4057.1,4555231.3,,38.90050243,-77.04229271
406,PM2590132,1190_0842,1050 Thomas Jefferson Street NW,2017,Data Under Review by DOEE,1050 THOMAS JEFFERSON ST NW,KIRSTEIN GERWIRZ AND ABEL,2.0,WASHINGTON,DC,20007.0,1980,Office,Office,287032.0,206542.0,97,44.0,44.0,138.1,138.1,1008.0,4.9,4382.9,2663117.0,,38.90388654,-77.06040573
409,PM2686138,0452_0032,650 Mass Ave,2017,In Compliance,0628-0650 MASSACHUSETTS AV,BOP 650 MASS LLC,2.0,WASHINGTON,DC,20001.0,1989,Office,Office,465821.0,346459.0,90,44.1,44.1,138.5,138.5,1695.5,4.9,5133.2,4479655.3,,38.90166173,-77.02125073
411,PM4989400,0159_0855,UNIZO DC One Real Estate (Longfellow Building),2017,In Compliance,1201 CONNECTICUT AV,UNIZO REAL ESTATE ONE LLC,2.0,WASHINGTON,DC,20036.0,1941,Office,Office,202675.0,202675.0,87,44.9,45.6,138.8,141.0,997.3,4.9,2065.6,2604786.4,2144.958853,38.90609489,-77.04080359
412,PM1273006,0252_0079,1325 G Street,2017,In Compliance,1325 G ST NW,GSTDC 72 OWNER LLC,2.0,WASHINGTON,DC,20005.0,1969,Office,Office,448066.0,333484.0,89,57.4,60.6,138.9,140.5,1742.6,5.2,4101.6,3676664.2,66077.92292000001,38.89872502,-77.03099182
413,PM1328161,0375_0125,Victor Building - 252510,2017,In Compliance,0750 9TH ST NW,750 NINTH STREET LLC,2.0,WASHINGTON,DC,20001.0,2000,Office,Office,322040.0,344081.0,91,44.2,44.3,138.9,139.1,1687.9,4.9,5545.6,4459479.3,,38.89951066,-77.02440803
416,PM2946167,0181_0850,Benjamin T. Rome,2017,In Compliance,1619 MASSACHUSETTS AV,JOHNS HOPKINS UNIVERSITY,2.0,WASHINGTON,DC,20036.0,1961,Office,Office,101369.0,64843.0,89,59.8,63.6,139.0,141.5,342.7,5.3,863.4,693496.8,15100.3754,38.9080435,-77.03755546
417,PM1071476,0139_0816,1250 Conn Ave,2017,In Compliance,1250 CONNECTICUT AV NW,TRIZECHAHN 1250C/2401P LLC,2.0,WASHINGTON,DC,20036.0,1964,Office,Office,232204.0,178185.0,90,56.6,60.0,139.1,141.5,928.5,5.2,2864.1,1989272.2,33059.61522,38.90709561,-77.04208511
418,PM4565989,0628_0895,american federation of government employee,2017,In Compliance,0080 F ST NW,AMERICAN FEDERATION OF GOVERNMENT EMPLOYEES,6.0,WASHINGTON,DC,20001.0,1986,Office,Office,142975.0,133000.0,81,44.3,44.3,139.2,139.2,653.9,4.9,2813.0,1727652.1,,38.8970746,-77.01079868
421,PM3857228,0252_0078,717 14th Street,2017,In Compliance,0717 14TH ST NW,717 14TH STREET LLC,2.0,WASHINGTON,DC,20005.0,1927,Office,Office,147884.0,124368.0,85,44.5,45.1,139.7,141.7,613.6,4.9,1792.7,1621235.0,,38.89890674,-77.03156082
422,PM1034332,0197_0854,American Chemical Society - 1550 Building,2017,In Compliance,1550 M ST NW,AMERICAN CHEMICAL SOCIETY,2.0,WASHINGTON,DC,20005.0,1988,Office,Office,96839.0,85277.0,91,44.5,45.4,139.8,142.7,421.3,4.9,1382.9,1113071.0,,38.90536697,-77.03572636
424,PM4624422,0222_0814,1445 NY Ave,2017,In Compliance,1445 NEW YORK AV NW,PONTE GADEA OF WASHINGTON LLC,2.0,WASHINGTON,DC,20005.0,1897,Office,Office,177195.0,205656.0,87,44.8,45.7,140.6,143.5,1021.4,5.0,1824.1,2698616.1,,38.89935994,-77.03292433
429,PM5812782,0701_0853,55 M Street Office & Retail,2017,In Compliance,55 M ST SE,HINES GLOBAL REIT 55 M STREET LLC,6.0,WASHINGTON,DC,20003.0,2009,Office,Office,393035.0,295059.0,94,46.7,46.6,141.1,140.6,1483.3,5.0,4369.0,3807407.9,7949.02766,38.87627832,-77.00682398
430,PM2840677,0291_0037,1201 Pennsylvania Ave.,2017,In Compliance,1201 PENNSYLVANIA AV NW,1201 LAND LP,2.0,WASHINGTON,DC,20004.0,1980,Office,Office,642329.0,429348.0,75,45.0,46.4,141.3,145.8,2143.9,5.0,7565.8,5664221.7,,38.89600299,-77.02838287
434,PM1620667,0675_0832,77 K Street,2017,In Compliance,77 K ST NE,77 K STREET TOWER LLC,6.0,WASHINGTON,DC,20002.0,2008,Office,Office,346026.0,338929.0,94,46.7,47.0,142.3,142.6,1715.0,5.1,3788.2,4432862.2,6994.8754930000005,38.90211582,-77.00638206
435,PM1431050,0162_0821,1707 L Street,2017,In Compliance,1707 L ST NW,1709 L STREET NW LLC,2.0,WASHINGTON,DC,20036.0,1963,Office,Office,165374.0,109926.0,93,55.2,56.6,142.4,142.3,579.1,5.3,1499.7,1302729.9,16197.4091,38.9040518,-77.03922666
438,PM4369395,1191_0071,The Foundry Building,2017,In Compliance,1055 THOMAS JEFFERSON ST NW,JBG FOUNDRY OFFICE 200,2.0,WASHINGTON,DC,20007.0,1975,Office,Office,331720.0,244850.0,87,45.6,46.4,143.1,145.6,1238.1,5.1,4059.0,3270302.6,60.00000197,38.90393028,-77.05929023
440,PM3987925,0221_0818,Willcap Holdings LLC,2017,In Compliance,0734 15TH ST NW,WILLCAP HOLDINGS LLC,2.0,WASHINGTON,DC,20005.0,1936,Office,Office,87574.0,78495.0,85,56.0,58.6,143.2,143.8,416.9,5.3,639.5,928999.9,12296.26728,38.899631299999996,-77.03406515
442,PM3630592,0247_0094,National Association for the Education of Young Children,2017,In Compliance,1313 L ST NW,NATIONAL ASSOCIATION FOR THE EDUCATION OF YOUNG CHILDREN,2.0,WASHINGTON,DC,20005.0,1984,Office,Office,118722.0,125000.0,87,45.7,45.7,143.4,143.4,633.2,5.1,925.6,1672882.2,,38.9040862,-77.03051133
444,PM1029531,0457_0039,600 E Street,2017,In Compliance,600 E ST NW,6TH & E ASSOCIATES LLC,2.0,WASHINGTON,DC,20004.0,1976,Office,Office,438018.0,356387.0,91,45.8,45.8,143.7,143.7,1809.3,5.1,3890.4,4780345.6,,38.89578709,-77.02049174
448,PM1030284,0050_0086,1255 23rd Street,2017,In Compliance,1225 23RD ST NW,CAPITOL 50 ASSOCIATES,2.0,WASHINGTON,DC,20037.0,1982,Office,Office,83314.0,358737.0,92,45.9,45.9,144.0,144.0,1825.0,5.1,4077.3,4821829.3,,38.90640247,-77.04978884
452,PM1061926,0162_0092,02217 - 1100 17th Street NW,2017,In Compliance,1100 17TH ST NW,LIBERTY 1100 17TH STREET LP,2.0,WASHINGTON,DC,20036.0,1962,Office,Office,157120.0,151599.0,88,57.1,59.1,144.9,145.2,839.5,5.5,2670.1,1805882.5,25002.26598,38.90417969,-77.03875448
453,PM1583321,0625_0061,Republic Square - 25 Mass Ave,2017,In Compliance,25 MASSACHUSETTS AVE NW,T-C REPUBLIC SQUARE OWNER LLC,6.0,WASHINGTON,DC,20001.0,2006,Office,Office,551388.0,402012.0,91,47.2,47.2,145.4,145.4,2074.0,5.2,4869.4,5402581.5,5494.13019,38.89846544,-77.01041674
455,PM1034322,0197_0853,American Chemical Society - Headquarters,2017,In Compliance,1155 16TH ST NW,AMERICAN CHEMICAL SOCIETY,2.0,WASHINGTON,DC,20036.0,1959,Office,Office,144462.0,115470.0,89,67.0,71.2,146.3,150.8,653.5,5.7,1184.1,1230744.9,35336.12085,38.90536939,-77.03605573
457,PM2279187,0217_0047,1025 Vermont Avenue,2017,In Compliance,1025 VERMONT AVE NW,1025 VERMONT AVENUE LLC,2.0,WASHINGTON,DC,20005.0,1964,Office,Office,171359.0,109878.0,87,52.8,55.0,146.4,148.7,584.7,5.3,1805.2,1401045.5,10246.42378,38.9033146,-77.03293757
458,PM1180478,0289_0830,0601 Thirteenth Street NW (Homer),2017,In Compliance,0601 13TH ST NW,S KANN SONS COMPANY,2.0,WASHINGTON,DC,20005.0,1990,Office,Office,678600.0,604301.0,85,46.6,49.3,146.5,154.7,3126.8,5.2,6363.9,8261068.2,,38.89814115,-77.02926284
459,PM6268144,0494_0859,Carbon,2017,In Compliance,0501 SCHOOL ST SW,501 SCHOOL ASSOCIATES LIMITED PARTNERSHIP,6.0,WASHINGTON,DC,20024.0,1988,Office,Office,119720.0,83620.0,80,46.8,46.8,147.1,147.1,434.5,5.2,643.9,1148059.9,,38.88414831,-77.01912790000002
460,PM1268800,0196_0035,National Education Association,2017,In Compliance,1201 16TH ST NW,NATIONAL EDUCATION ASSOCIATION OF THE UNITED STATE,2.0,WASHINGTON,DC,20036.0,1991,Office,Office,311715.0,394087.0,92,59.9,62.7,147.6,149.6,2237.6,5.7,3976.1,4680973.1,76397.01715,38.90609858,-77.0357194
465,PM5826641,0183_0105,William Calomiris Building,2017,Data Under Review by DOEE,1112 16TH ST NW,GWC DISTRICT RESIDENTIAL LLC,2.0,WASHINGTON,DC,20036.0,1940,Office,Office,58049.0,62100.0,80,67.5,67.5,148.6,148.6,356.2,5.7,1806.1,677303.2,18789.15422,38.904262700000004,-77.03696031
