,Primary_Key,DC_Real_Property_ID,Property_Name,Reporting_Year,Report_Status,Address_of_Record,Owner_of_Record,Ward,City,State,Postal_Code,Year_Built,Primary_Property_Type_Self_Selected,Primary_Property_Type_EPA_Calculated,Tax_Record_Floor_Area,Recorded_Building_Gross_Floor_Area,Energy_Star_Score,Site_EUI_KBTU_Ft,Weather_Normalized_Site_EUI_KBTU_Ft,Source_EUI_KBTU_Ft,Weather_Normalized_Source_EUI_KBTU_Ft,Total_GHG_Emissions_Metric_Tons_CO2e,Total_GHG_Emissions_Intensity_Kg_CO2e_Ft,Water_Use_All_Water_Sources_Kgal,Electricity_Use_Grid_Kwh,Natural_Gas_Use_Therms,Latitude,Longitude
2614,PM3442458,1601_0001,Foxhall Square,2015,In Compliance,3301 NEW MEXICO AVE NW,COLUMBIA REALTY VENTURE LLC,3.0,Washington,DC,20016.0,1975,Medical Office,Medical Office,165912.0,135136.0,47,140.5,141.9,348.5,348.4,2057.8,15.2,5109.2,3807157.5,60027.717229999995,38.93364844,-77.08518407
2618,PM3238385,0073_0079,"2141 K Street, NW",2015,In Compliance,2141 K ST NW,SNH MEDICAL OFFICE PROPERTIES TRUST,2.0,Washington,DC,20037.0,1966,Medical Office,Medical Office,166176.0,82592.0,26,135.9,136.9,352.4,353.4,1265.3,15.3,5389.2,2428265.7,29414.681119999997,38.90292904,-77.04802991
2869,PM4371660,0674_0438,Kaiser North Capitol,2014,In Compliance,1011 NORTH CAPITOL ST NE,KAISER FOUNDATION HEALTH ATTEN: PROPERTYMANAGER,6.0,WASHINGTON,DC,20002.0,1985,Medical Office,Medical Office,82678.0,81333.0,84,42.9,42.9,134.5,134.5,466.4,5.7,2108.0,1020288.1,71.829998,38.90335475,-77.00837366
3088,PM1750762,0140_0913,"1145 19TH, WASHINGTON, DC,  Site #535047",2014,In Compliance,1145 19TH ST NW,SNH MEDICAL OFFICE PROPERTIES TRUST,2.0,WASHINGTON,DC,20036.0,1955,Medical Office,Medical Office,173812.0,152027.0,69,68.5,65.9,188.0,182.1,1235.2,8.1,6632.5,2474681.9,19747.1215,38.90505441,-77.04289334
3333,PM3442458,1601_0001,Foxhall Square,2014,In Compliance,3301 NEW MEXICO AV NW,COLUMBIA REALTY VENTURE LLC,3.0,WASHINGTON,DC,20016.0,1975,Medical Office,Medical Office,165912.0,135136.0,46,144.6,143.8,344.5,343.3,2043.8,15.1,4920.2,3651573.5,70773.45709,38.93358264,-77.08484264
3335,PM3238385,0073_0079,"2141 K Street, NW",2014,In Compliance,2141 K ST NW,SNH MEDICAL OFFICE PROPERTIES TRUST,2.0,WASHINGTON,DC,20037.0,1966,Medical Office,Medical Office,166176.0,82592.0,21,133.1,131.0,354.2,352.0,1268.1,15.4,3713.3,2483992.5,25139.70905,38.90292806,-77.04803349
3416,PM4371660,0674_0438,Kaiser North Capitol,2013,In Compliance,1011 NORTH CAPITOL ST NE,KAISER FOUNDATION HEALTH ATTEN: PROPERTYMANAGER,6.0,WASHINGTON,DC,20002.0,1985,Medical Office,Medical Office,82678.0,81333.0,89,36.4,36.4,113.3,113.3,393.2,4.8,2218.6,855955.4,425.8100103,38.90335475,-77.00837366
3601,PM1750762,0140_0913,"1145 19TH, WASHINGTON, DC,  Site #535047",2013,In Compliance,1145 19TH ST NW,SNH MEDICAL OFFICE PROPERTIES TRUST,2.0,WASHINGTON,DC,20036.0,1955,Medical Office,Medical Office,173812.0,152027.0,66,70.8,70.7,199.0,198.8,1303.8,8.6,7437.6,2656211.8,17055.47195,38.90505441,-77.04289334
3701,PM3965374,0127_0853,1712 Eye Street,2013,In Compliance,1714 I ST NW,1712 LP,2.0,WASHINGTON,DC,20006.0,1960,Medical Office,Medical Office,60361.0,54854.0,51,91.0,91.4,246.4,246.8,556.1,10.1,3367.1,1159829.285,10357.030999999999,38.90102051,-77.04021715
3764,PM3442458,1601_0001,Foxhall Square,2013,In Compliance,3301 NEW MEXICO AV NW,COLUMBIA REALTY VENTURE LLC,3.0,WASHINGTON,DC,20016.0,1975,Medical Office,Medical Office,165910.0,135136.0,52,130.3,131.2,313.5,314.3,1774.9,13.1,5146.6,3347199.124,61920.012,38.93358264,-77.08484264
3777,PM3238385,0073_0079,"2141 K Street, NW",2013,In Compliance,2141 K ST NW,SNH MEDICAL OFFICE PROPERTIES TRUST,2.0,WASHINGTON,DC,20037.0,1966,Medical Office,Medical Office,166176.0,82592.0,15,141.3,141.8,383.3,383.8,1302.4,15.8,3927.4,2720848.673,23901.36,38.90292806,-77.04803349
